2020-12-13 21:12:799 INFO  HomePage :45 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (3d3e888d898511a4c87433048058561e)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 21:12:583 INFO  HomePage :51 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (3d3e888d898511a4c87433048058561e)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 21:12:653 INFO  HomePage :58 - enter email address[[ChromeDriver: chrome on WINDOWS (3d3e888d898511a4c87433048058561e)] -> xpath: //input[@id='login']]
2020-12-13 21:12:974 INFO  HomePage :64 - enter password[[ChromeDriver: chrome on WINDOWS (3d3e888d898511a4c87433048058561e)] -> xpath: //input[@id='password']]
2020-12-13 21:12:205 INFO  HomePage :70 - enter confirm password[[ChromeDriver: chrome on WINDOWS (3d3e888d898511a4c87433048058561e)] -> xpath: //input[@id='password-conf']]
2020-12-13 21:12:381 INFO  HomePage :77 - clicking on create button[[ChromeDriver: chrome on WINDOWS (3d3e888d898511a4c87433048058561e)] -> xpath: //span[contains(text(),'Create')]]
2020-12-13 21:12:527 INFO  HomePage :82 - "get text from account successfully"+_myAccountText.toString()
2020-12-13 21:12:539 INFO  HomePage :88 - Clicking on homePage tab[[ChromeDriver: chrome on WINDOWS (426fa28b3d74b558053716d2448606f7)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[1]/a/span]
2020-12-13 21:12:25 INFO  HomePage :94 - get text from home page successfully[[ChromeDriver: chrome on WINDOWS (426fa28b3d74b558053716d2448606f7)] -> xpath: //*[@id="content"]/div/div/div[2]/h1]
2020-12-13 21:12:102 INFO  HomePage :99 - Clicking on electronicButton[[ChromeDriver: chrome on WINDOWS (426fa28b3d74b558053716d2448606f7)] -> xpath: //span[contains(text(),'Electronics')]]
2020-12-13 21:12:614 INFO  ElectronicPage :19 - Clicking on electronic button[[ChromeDriver: chrome on WINDOWS (426fa28b3d74b558053716d2448606f7)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:210 INFO  HomePage :105 - Clicking on new tab[[ChromeDriver: chrome on WINDOWS (f26086ac0988a6d11afe4d4c8f0a687a)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[4]/a/span]
2020-12-13 21:12:964 INFO  NewArrivalsPage :23 - Get text from new arraivals tab[[ChromeDriver: chrome on WINDOWS (f26086ac0988a6d11afe4d4c8f0a687a)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:124 INFO  NewArrivalsPage :29 - Clicking on fitness tracker watch[[ChromeDriver: chrome on WINDOWS (f26086ac0988a6d11afe4d4c8f0a687a)] -> xpath: //*[@id="content"]/div/div/div[3]/div/div/div[3]/ul/li[1]/div/div[1]/a/img]
2020-12-13 21:12:243 INFO  FitnessTrackerSmartWatchPage :19 - get text from fitness tracker smart watch[[ChromeDriver: chrome on WINDOWS (f26086ac0988a6d11afe4d4c8f0a687a)] -> xpath: //h1[contains(text(),'Fitness Tracker Smart Watch')]]
2020-12-13 21:12:969 INFO  HomePage :45 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (8cb5e47907b88cc2a913426c2534a56e)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 21:12:641 INFO  HomePage :51 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (8cb5e47907b88cc2a913426c2534a56e)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 21:12:720 INFO  HomePage :58 - enter email address[[ChromeDriver: chrome on WINDOWS (8cb5e47907b88cc2a913426c2534a56e)] -> xpath: //input[@id='login']]
2020-12-13 21:12:93 INFO  HomePage :64 - enter password[[ChromeDriver: chrome on WINDOWS (8cb5e47907b88cc2a913426c2534a56e)] -> xpath: //input[@id='password']]
2020-12-13 21:12:316 INFO  HomePage :70 - enter confirm password[[ChromeDriver: chrome on WINDOWS (8cb5e47907b88cc2a913426c2534a56e)] -> xpath: //input[@id='password-conf']]
2020-12-13 21:12:463 INFO  HomePage :77 - clicking on create button[[ChromeDriver: chrome on WINDOWS (8cb5e47907b88cc2a913426c2534a56e)] -> xpath: //span[contains(text(),'Create')]]
2020-12-13 21:12:653 INFO  HomePage :82 - "get text from account successfully"+_myAccountText.toString()
2020-12-13 21:12:494 INFO  HomePage :88 - Clicking on homePage tab[[ChromeDriver: chrome on WINDOWS (f6f825ec45a69c2690f9fc84d9021528)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[1]/a/span]
2020-12-13 21:12:791 INFO  HomePage :94 - get text from home page successfully[[ChromeDriver: chrome on WINDOWS (f6f825ec45a69c2690f9fc84d9021528)] -> xpath: //*[@id="content"]/div/div/div[2]/h1]
2020-12-13 21:12:851 INFO  HomePage :99 - Clicking on electronicButton[[ChromeDriver: chrome on WINDOWS (f6f825ec45a69c2690f9fc84d9021528)] -> xpath: //span[contains(text(),'Electronics')]]
2020-12-13 21:12:48 INFO  ElectronicPage :19 - Clicking on electronic button[[ChromeDriver: chrome on WINDOWS (f6f825ec45a69c2690f9fc84d9021528)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:134 INFO  HomePage :88 - Clicking on homePage tab[[ChromeDriver: chrome on WINDOWS (f9e0fe4af275f9b473adbaaa29282e50)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[1]/a/span]
2020-12-13 21:12:713 INFO  HomePage :94 - get text from home page successfully[[ChromeDriver: chrome on WINDOWS (f9e0fe4af275f9b473adbaaa29282e50)] -> xpath: //*[@id="content"]/div/div/div[2]/h1]
2020-12-13 21:12:820 INFO  HomePage :99 - Clicking on electronicButton[[ChromeDriver: chrome on WINDOWS (f9e0fe4af275f9b473adbaaa29282e50)] -> xpath: //span[contains(text(),'Electronics')]]
2020-12-13 21:12:671 INFO  ElectronicPage :19 - Clicking on electronic button[[ChromeDriver: chrome on WINDOWS (f9e0fe4af275f9b473adbaaa29282e50)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:238 INFO  HomePage :88 - Clicking on homePage tab[[ChromeDriver: chrome on WINDOWS (1bf69bfa021dd590675e8e1948325393)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[1]/a/span]
2020-12-13 21:12:430 INFO  HomePage :94 - get text from home page successfully[[ChromeDriver: chrome on WINDOWS (1bf69bfa021dd590675e8e1948325393)] -> xpath: //*[@id="content"]/div/div/div[2]/h1]
2020-12-13 21:12:546 INFO  HomePage :99 - Clicking on electronicButton[[ChromeDriver: chrome on WINDOWS (1bf69bfa021dd590675e8e1948325393)] -> xpath: //span[contains(text(),'Electronics')]]
2020-12-13 21:12:377 INFO  ElectronicPage :19 - Clicking on electronic button[[ChromeDriver: chrome on WINDOWS (1bf69bfa021dd590675e8e1948325393)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:592 INFO  HomePage :88 - Clicking on homePage tab[[ChromeDriver: chrome on WINDOWS (32acc431d906b040addb53f35b201ab6)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[1]/a/span]
2020-12-13 21:12:528 INFO  HomePage :94 - get text from home page successfully[[ChromeDriver: chrome on WINDOWS (32acc431d906b040addb53f35b201ab6)] -> xpath: //*[@id="content"]/div/div/div[2]/h1]
2020-12-13 21:12:700 INFO  HomePage :99 - Clicking on electronicButton[[ChromeDriver: chrome on WINDOWS (32acc431d906b040addb53f35b201ab6)] -> xpath: //span[contains(text(),'Electronics')]]
2020-12-13 21:12:260 INFO  ElectronicPage :19 - Clicking on electronic button[[ChromeDriver: chrome on WINDOWS (32acc431d906b040addb53f35b201ab6)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:796 INFO  HomePage :105 - Clicking on new tab[[ChromeDriver: chrome on WINDOWS (94ea9a006f3dd5d71d3806c6cde0c1a9)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[4]/a/span]
2020-12-13 21:12:333 INFO  NewArrivalsPage :23 - Get text from new arraivals tab[[ChromeDriver: chrome on WINDOWS (94ea9a006f3dd5d71d3806c6cde0c1a9)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:527 INFO  NewArrivalsPage :29 - Clicking on fitness tracker watch[[ChromeDriver: chrome on WINDOWS (94ea9a006f3dd5d71d3806c6cde0c1a9)] -> xpath: //*[@id="content"]/div/div/div[3]/div/div/div[3]/ul/li[1]/div/div[1]/a/img]
2020-12-13 21:12:854 INFO  FitnessTrackerSmartWatchPage :19 - get text from fitness tracker smart watch[[ChromeDriver: chrome on WINDOWS (94ea9a006f3dd5d71d3806c6cde0c1a9)] -> xpath: //h1[contains(text(),'Fitness Tracker Smart Watch')]]
2020-12-13 21:12:39 INFO  HomePage :45 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (5a24bc8e14a967139d903acbe763d2d1)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 21:12:759 INFO  HomePage :51 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (5a24bc8e14a967139d903acbe763d2d1)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 21:12:171 INFO  HomePage :58 - enter email address[[ChromeDriver: chrome on WINDOWS (5a24bc8e14a967139d903acbe763d2d1)] -> xpath: //input[@id='login']]
2020-12-13 21:12:662 INFO  HomePage :64 - enter password[[ChromeDriver: chrome on WINDOWS (5a24bc8e14a967139d903acbe763d2d1)] -> xpath: //input[@id='password']]
2020-12-13 21:12:980 INFO  HomePage :70 - enter confirm password[[ChromeDriver: chrome on WINDOWS (5a24bc8e14a967139d903acbe763d2d1)] -> xpath: //input[@id='password-conf']]
2020-12-13 21:12:236 INFO  HomePage :77 - clicking on create button[[ChromeDriver: chrome on WINDOWS (5a24bc8e14a967139d903acbe763d2d1)] -> xpath: //span[contains(text(),'Create')]]
2020-12-13 21:12:668 INFO  HomePage :82 - "get text from account successfully"+_myAccountText.toString()
2020-12-13 21:12:348 INFO  HomePage :88 - Clicking on homePage tab[[ChromeDriver: chrome on WINDOWS (7904755a0eceff02ec7aa898ecabbf4a)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[1]/a/span]
2020-12-13 21:12:498 INFO  HomePage :94 - get text from home page successfully[[ChromeDriver: chrome on WINDOWS (7904755a0eceff02ec7aa898ecabbf4a)] -> xpath: //*[@id="content"]/div/div/div[2]/h1]
2020-12-13 21:12:585 INFO  HomePage :99 - Clicking on electronicButton[[ChromeDriver: chrome on WINDOWS (7904755a0eceff02ec7aa898ecabbf4a)] -> xpath: //span[contains(text(),'Electronics')]]
2020-12-13 21:12:894 INFO  ElectronicPage :19 - Clicking on electronic button[[ChromeDriver: chrome on WINDOWS (7904755a0eceff02ec7aa898ecabbf4a)] -> xpath: //h1[@id='page-title']]
